女の子,この てんきは？
女の子,はれ
女の子,この てんきは？
女の子,あめ
女の子,この てんきは？
女の子,くもり
女の子,この てんきは？
女の子,ゆき
女の子,これは なに？
女の子,にじ
女の子,これは なに？
女の子,かみなり
女の子,これは なに？
女の子,かぜ
女の子,そらに ある しろい ふわふわは なに？
女の子,くも
女の子,これは なに？
女の子,たつまき
女の子,あさ、しろい もやが でる てんきを なんという？
女の子,きり
女の子,にじは なんしょく？
女の子,ななしょく
女の子,みずたまりは いつ できる？
女の子,あめの あと
女の子,かみなりは なぜ なる？
女の子,くもの なかで でんきが たまるから
女の子,あめは どこから ふってくる？
女の子,くも
女の子,これは なに？
女の子,おんどけい
女の子,いちねんで いちばん あつい きせつは？
女の子,なつ
女の子,これは なに？
女の子,たいふう
女の子,にじは いつ でる？
女の子,あめの あと はれた とき
女の子,かみなりは たかい ものに よく おちる。どうして？
女の子,たかい ものが いちばん ちかいから
女の子,きりは どんな てんきに できやすい？
女の子,すずしい あさ
女の子,ゆきが たくさん ふる ちほうを なんという？
女の子,ゆきぐに
女の子,うみや かわの みずが そらに のぼっていくのを なんという？
女の子,じょうはつ
女の子,ふゆに いきが しろく みえるのは なぜ？
女の子,いきの なかの みずが ひえて つぶに なるから
女の子,ゆきの けっしょうは どんな かたち？
女の子,つの が むっつ ある かたち
