女の子,まんなかは なにいろ？
女の子,あお
女の子,ひだりから いちばんめは なにいろ？
女の子,みどり
女の子,ひだりから いちばんめは なにいろ？
女の子,あか
女の子,みぎから いちばんめは なにいろ？
女の子,きいろ
女の子,まんなかは なにいろ？
女の子,あお
女の子,まんなかは なにいろ？
女の子,オレンジ
女の子,みぎから いちばんめは なにいろ？
女の子,ピンク
女の子,ひだりから いちばんめは なにいろ？
女の子,オレンジ
女の子,ひだりから さんばんめは なにいろ？
女の子,きいろ
女の子,みぎから いちばんめは なにいろ？
女の子,きいろ
女の子,ひだりから にばんめは なにいろ？
女の子,きいろ
女の子,みぎから にばんめは なにいろ？
女の子,みどり
女の子,ひだりから さんばんめは なにいろ？
女の子,ピンク
女の子,みぎから いちばんめは なにいろ？
女の子,きいろ
女の子,ひだりから にばんめは なにいろ？
女の子,オレンジ
女の子,みぎから にばんめは なにいろ？
女の子,あか
女の子,まんなかは なにいろ？
女の子,みどり
女の子,ひだりから にばんめは なにいろ？
女の子,あお
女の子,まんなかは なにいろ？
女の子,あか
女の子,みぎから にばんめは なにいろ？
女の子,オレンジ
女の子,みぎから にばんめは なにいろ？
女の子,きいろ
女の子,いちばん ひだりは なにいろ？
女の子,あか
女の子,いちばん みぎは なにいろ？
女の子,むらさき
女の子,まんなかは なにいろ？
女の子,きいろ
